date,BR13,BR12,G16/BR11,BL15/BR10,R05/BR09,BR08,BR07,BR06,BR05,BR04,BR03,BR02,BR01,BR14,BR15,BR16,BR17,BR18,BR19,BR20,BR21,BR22,BR23,BL23/BR24,G03A,G01,G02,G03,G04,G05,G06,G07,G08,O05/G09,R08/G10,G11,O04,O03,O02,O01,R09,R10/BL12,R11/G14,R12,O11/R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R22A,R23,R24,R25,R26,R27,R28,BL01,BL02,BL03,BL04,BL05,BL06,BL07,BL08,BL09,BL10,G12/BL11,BL13,O07/BL14,BL16,BL17,BL18,BL19,BL20,BL21,BL22,R02,R03,R04,R06,G13,O08/G15,G17,G18,G19,O19,O18,O17,O16,O15,O14,O13,O12,O10,O09,O06/R07,O54,O53,O52,O51,O50,O21,O20
2015/8/21,12525,33621,75055,112211,43707,29562,23473,8067,7867,26975,4341,7266,13135,16840,22525,31945,29241,10525,16791,6363,16019,16397,8929,69277,4340,20281,23357,31582,40069,29370,19119,60854,40488,67785,60219,14044,70834,52590,51371,40436,49525,348763,81818,47417,47173,49709,68441,59220,48628,24204,59260,15277,20470,33521,12520,7393,5263,21145,19202,14434,69778,12319,27347,13912,40657,37444,58002,83186,80892,50958,53016,159122,41281,65627,90102,50489,125781,38543,33791,31481,25839,19526,61681,33384,14201,14253,77170,47193,41243,41922,15049,23246,9106,8433,8217,17403,17398,22743,33269,54089,51077,23046,23716,24131,23080,22669,16240,16191
2015/8/22,8690,20487,42219,109182,27223,18719,15576,7676,4245,17279,3088,5264,13907,13009,22031,11053,12840,8401,13197,5124,10873,12546,3906,32901,3996,17126,17153,23905,27974,26286,15789,55439,35845,50617,44589,6804,58264,41261,38177,32856,26611,319539,74527,35129,32918,40911,64829,51587,38876,16915,46907,10705,10692,25606,11842,6132,3236,13912,15723,13341,71831,9333,23274,12906,31951,26574,51095,71916,62287,38345,47718,163327,29294,63246,80359,40607,103506,28665,27941,19236,16729,13562,53320,23164,14924,9813,40034,33348,28339,30529,12688,17075,7690,4468,6576,15521,16081,17977,23419,34882,44494,17953,18785,19258,17796,18584,12729,13170
2015/8/23,8895,16412,32976,86147,21110,15106,12534,6723,3845,14545,2258,5096,9436,10340,19815,8970,10078,5906,10522,4251,8798,10220,3311,26338,3739,14187,14851,20327,22418,22514,13581,49545,29813,39542,35159,5449,47990,33907,31388,27114,19873,303823,61422,24611,30826,33541,50463,40682,37493,13319,37355,9130,8374,21691,10331,4618,2754,10617,12506,10130,53368,8086,19672,10017,26523,20674,41147,65912,51508,32126,38965,137630,24137,50158,60373,31418,87076,25729,22360,15677,14189,9637,45561,17875,12676,7986,31550,28619,22568,23022,10804,13200,5894,3413,4944,11074,12581,15142,19788,28432,35978,15302,15456,16180,14976,15590,10244,10786
2015/8/24,11816,31413,70997,97039,39764,27396,21950,7937,5915,25547,4331,6877,10984,15888,20096,30921,27662,9487,15492,6223,15289,15206,8100,54868,4483,20352,22231,30131,38231,29323,17627,56259,36545,63826,50713,14635,67384,49965,50033,39789,49065,309701,72429,45379,46667,45497,64433,52082,44590,22807,60645,14616,15801,31560,11124,6773,5212,21036,18286,14067,71258,11625,25270,13823,38681,37144,55350,76328,77948,48861,52534,149121,39065,62182,81475,45843,115353,36574,32603,29707,23120,19143,57623,31362,13196,13666,73634,37176,39693,39700,16518,19582,8842,8146,7694,15944,16602,22261,30663,52088,44194,22307,22472,22283,21732,21171,15239,15133
2015/8/25,12123,32952,75507,101323,42754,29158,23519,8233,6071,26314,4331,7681,15109,16854,20811,34386,30401,10612,16224,6488,16375,17046,8836,58378,4788,21913,23017,31837,39582,28470,18762,58123,38074,66007,54832,15191,71131,53583,52187,41475,50853,306346,75995,47357,47384,48764,70330,58046,46486,24582,58838,15022,16505,33469,12190,7219,5514,21919,18956,14819,71341,12166,26196,13669,39495,38095,56441,77983,80703,50294,53576,150313,41947,65090,84025,47949,116092,38318,33844,31280,23619,19501,55817,33461,13864,13862,77256,37844,41792,40575,17180,20562,9178,8604,8030,17007,17327,22927,32664,54065,46818,23184,22956,23576,22986,22278,15537,15567
2015/8/26,12279,33406,74123,104724,47911,29312,23576,8194,6103,26877,4482,7883,17597,16934,22137,34305,30988,10724,16330,6623,16531,16836,8913,72288,4660,20824,22805,31440,39375,29646,18587,58479,38553,67018,55083,15365,71544,53794,52339,40949,51795,319751,76741,48077,48321,48799,70497,58563,49124,24677,60638,15336,16568,34362,11677,7283,5352,21914,19073,14790,72995,12413,26817,14371,39213,38429,57431,79666,80283,51196,53025,151994,44536,64482,85907,49920,118337,39760,33334,31008,24220,20220,57236,33988,13907,14240,76739,37461,42567,41050,17476,20956,8958,8388,7948,17012,17194,22449,33481,53551,48627,23296,23396,23521,23046,22231,16222,15878
2015/8/27,12036,32826,74702,104150,44230,28564,23131,8032,6014,25594,4215,6948,11413,16306,20645,32875,29774,9293,15798,5881,16045,15624,9201,72862,4455,19967,23103,30224,39175,28810,18854,55195,38012,65179,52262,15040,69451,52011,51563,40011,49356,316571,76158,46632,46329,45858,61643,54836,44584,22041,57434,15062,15791,30926,9978,6949,4245,21063,17983,14090,62508,11899,26448,13408,37865,36871,55315,78773,79838,49655,50160,147390,42486,62628,84490,48113,116542,37873,32194,30182,23937,18247,55476,32739,12804,13749,78879,38823,41757,39513,16196,19779,9001,8384,7876,16587,17280,22637,31861,54076,46732,22368,22084,22833,22869,21930,15144,15369
2015/8/28,12882,32894,74440,109431,42649,28873,23077,8469,5917,27719,4279,6956,11779,16415,21116,32757,29721,9561,16307,5825,16122,15654,9083,75346,4147,19821,22440,30709,39598,29841,19247,54521,38371,65436,52961,14429,69188,51798,50289,39529,46298,350319,78740,45552,47377,47556,60278,54195,44447,22646,55492,15023,15298,31775,10214,6785,5127,19946,18013,13978,62543,12159,24966,13615,38184,35653,55369,80476,78364,48726,50311,154856,42001,65986,87829,50139,125379,37263,33593,31476,23986,18417,69873,33402,13158,14342,76232,37896,41617,38298,15173,20039,8459,8170,7576,15937,17098,22560,32171,53639,47890,22295,21840,23027,22077,21804,15162,15200
2015/8/29,10051,22481,46557,116182,29613,20911,17040,7176,5211,18944,3215,5910,15571,13076,22572,12563,15310,8111,15051,6084,11804,14053,4293,48235,4560,17837,18734,25812,30450,25956,17293,61737,38262,54999,48944,8210,62919,45712,42454,35868,27903,373345,81510,39396,36786,84285,66605,55845,40055,18566,48476,12196,11682,28273,13377,6380,3372,14146,16809,11993,75074,9630,26559,12590,34226,28078,55777,82562,67312,41367,51605,176933,29647,70237,84405,47650,120849,30236,29441,21328,20106,13595,82217,25379,15140,11880,44203,36924,30572,31248,14804,24315,7858,4844,6747,14334,16834,20610,25030,39313,46506,20050,20142,21623,19839,20538,13919,14711
2015/8/30,9814,19358,37351,94920,24808,17940,14636,6313,4563,16886,3032,5146,13568,12468,21426,9975,12986,7008,12214,5408,9966,12003,3937,32264,3892,17388,16471,22578,25437,23715,15155,55163,34155,45501,37804,6298,55613,39899,36476,31349,20726,346984,69044,27408,33836,70387,59316,47657,43277,14358,39818,10595,9979,25597,11866,5516,2773,12535,14409,12447,70608,9170,25107,11291,30147,22869,47272,73855,59700,36136,46232,152345,25200,58921,67461,37528,103009,26054,25582,17704,16444,12455,82808,20617,14778,9256,32623,33011,25001,27295,13135,21234,6867,4003,5679,12115,14191,17047,21034,32116,40694,17123,17773,18617,17145,17919,12245,12868
